STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,DONOR,Donor,RECIPIENT,Recipient,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,UNIT_MULT,Unit multiplier,FLOW_TYPE,Flow type,OBS_STATUS,Observation status
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2017,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2017,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2016,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2016,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2013,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2013,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2015,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2015,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2009,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2009,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2011,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2011,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2012,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2012,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2014,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2014,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2021,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,286,ODA as percent of recipient GNI,USD,US dollar,Q,Constant prices,2021,,,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2009,,14.326049,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2009,,14.326049,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2011,,22.938518,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2011,,22.938518,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2012,,19.703652,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2012,,19.703652,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2014,,19.322491,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2014,,19.322491,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2015,,27.524197,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2015,,27.524197,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2016,,120.452127,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2016,,120.452127,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2018,,158.238774,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2018,,158.238774,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2013,,27.262372,,2023,,6,Millions,D,Disbursements,A,Normal value
